year,state,path,seats,child_seats_left,child_seats_right,equal_child_seats,unit_count,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,nrs_v0_2_fallback_activated,nrs_v0_3_fallback_activated,assignment_match,objective_match
2000,OK,root,5,3,2,false,176064,1,1,1,false,false,false,false,true,true
2000,OR,0,3,2,1,false,73662,1,1,1,false,false,false,false,true,true
2000,OR,1,2,1,1,true,82570,2,2,1,true,false,false,false,true,true
2000,OR,00,2,1,1,true,51362,2,2,1,true,false,false,false,true,true
2000,OR,root,5,3,2,false,156232,1,1,1,false,false,false,false,true,true
2000,PA,0,10,5,5,true,209189,2,2,1,true,false,false,false,true,true
2000,PA,1,9,4,5,false,113235,1,1,1,false,false,false,false,true,true
2000,PA,00,5,2,3,false,125251,1,1,1,false,false,false,false,true,true
2000,PA,01,5,3,2,false,83938,1,1,1,false,false,false,false,true,true
2000,PA,10,4,2,2,true,63632,2,2,1,true,false,false,false,true,true
2000,PA,11,5,2,3,false,49603,1,1,1,false,false,false,false,true,true
2000,PA,000,2,1,1,true,46138,2,2,1,true,false,false,false,true,true
2000,PA,001,3,1,2,false,79113,1,1,1,false,false,false,false,true,true
2000,PA,010,3,2,1,false,58651,1,1,1,false,false,false,false,true,true
2000,PA,011,2,1,1,true,25287,2,2,1,true,false,false,false,true,true
2000,PA,100,2,1,1,true,42137,4,2,1,true,false,false,false,true,true
2000,PA,101,2,1,1,true,21495,2,2,1,true,false,false,false,true,true
2000,PA,110,2,1,1,true,19848,2,2,1,true,false,false,false,true,true
2000,PA,111,3,2,1,false,29755,1,1,1,false,false,false,false,true,true
2000,PA,0011,2,1,1,true,48383,2,2,1,true,false,false,false,true,true
2000,PA,0100,2,1,1,true,39047,2,2,1,true,false,false,false,true,true
2000,PA,1110,2,1,1,true,16638,6,2,1,true,false,false,false,true,true
2000,PA,root,19,10,9,false,322424,1,1,1,false,false,false,false,true,true
2000,RI,root,2,1,1,true,21023,2,2,1,true,false,false,false,true,true
2000,SC,0,3,1,2,false,69169,1,1,1,false,false,false,false,true,true
2000,SC,1,3,1,2,false,74750,1,1,1,false,false,false,false,true,true
2000,SC,01,2,1,1,true,44089,4,2,1,true,false,false,false,true,true
2000,SC,11,2,1,1,true,53356,2,2,1,true,false,false,false,true,true
2000,SC,root,6,3,3,true,143919,2,2,1,true,false,false,false,true,true
2000,TN,0,4,2,2,true,82025,4,2,1,true,false,false,false,true,true
2000,TN,1,5,2,3,false,100178,1,1,1,false,false,false,false,true,true
2000,TN,00,2,1,1,true,41465,2,2,1,true,false,false,false,true,true
2000,TN,01,2,1,1,true,40560,2,2,1,true,false,false,false,true,true
2000,TN,10,2,1,1,true,45259,2,2,1,true,false,false,false,true,true
2000,TN,11,3,1,2,false,54919,1,1,1,false,false,false,false,true,true
2000,TN,111,2,1,1,true,32150,2,2,1,true,false,false,false,true,true
2000,TN,root,9,4,5,false,182203,1,1,1,false,false,false,false,true,true
2000,TX,0,16,8,8,true,366069,2,2,1,true,false,false,false,true,true
2000,TX,1,16,8,8,true,308993,2,2,1,true,false,false,false,true,true
2000,TX,00,8,4,4,true,189645,2,2,1,true,false,false,false,true,true
2000,TX,01,8,4,4,true,176424,2,2,1,true,false,false,false,true,true
2000,TX,10,8,4,4,true,149971,2,2,1,true,false,false,false,true,true
2000,TX,11,8,4,4,true,159022,2,2,1,true,false,false,false,true,true
2000,TX,000,4,2,2,true,143532,2,2,1,true,false,false,false,true,true
2000,TX,001,4,2,2,true,46113,2,2,1,true,false,false,false,true,true
2000,TX,010,4,2,2,true,92483,8,2,1,true,false,false,false,true,true
2000,TX,011,4,2,2,true,83941,4,2,1,true,false,false,false,true,true
2000,TX,100,4,2,2,true,100299,4,2,1,true,false,true,false,true,true
2000,TX,101,4,2,2,true,49672,2,2,1,true,false,false,false,true,true
2000,TX,110,4,2,2,true,58337,2,2,1,true,false,false,false,true,true
2000,TX,111,4,2,2,true,100685,4,2,1,true,false,false,false,true,true
2000,TX,0000,2,1,1,true,79534,4,2,1,true,false,false,false,true,true
2000,TX,0001,2,1,1,true,63998,2,2,1,true,false,false,false,true,true
2000,TX,0010,2,1,1,true,25640,4,2,1,true,false,false,false,true,true
2000,TX,0011,2,1,1,true,20473,2,2,1,true,false,false,false,true,true
2000,TX,0100,2,1,1,true,26341,2,2,1,true,false,true,false,true,true
2000,TX,0101,2,1,1,true,66142,2,2,1,true,false,false,false,true,true
2000,TX,0110,2,1,1,true,61082,2,2,1,true,false,false,false,true,true
2000,TX,0111,2,1,1,true,22859,4,2,1,true,false,false,false,true,true
2000,TX,1000,2,1,1,true,73889,2,2,1,true,false,false,false,true,true
2000,TX,1001,2,1,1,true,26410,4,2,1,true,false,false,false,true,true
2000,TX,1010,2,1,1,true,13334,2,2,1,true,false,false,false,true,true
2000,TX,1011,2,1,1,true,36338,2,2,1,true,false,false,false,true,true
2000,TX,1100,2,1,1,true,37023,2,2,1,true,false,false,false,true,true
2000,TX,1101,2,1,1,true,21314,12,2,1,true,false,false,false,true,true
2000,TX,1110,2,1,1,true,55823,2,2,1,true,false,false,false,true,true
2000,TX,1111,2,1,1,true,44862,2,2,1,true,false,false,false,true,true
2000,TX,root,32,16,16,true,675062,2,2,1,true,false,false,false,true,true
2000,UT,1,2,1,1,true,62269,2,2,1,true,false,false,false,true,true
2000,UT,root,3,1,2,false,74704,1,1,1,false,false,false,false,true,true
2000,VA,0,6,3,3,true,70255,2,2,1,true,false,false,false,true,true
2000,VA,1,5,2,3,false,75144,1,1,1,false,false,false,false,true,true
