state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
IA,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,896,4,1103081.21362,1.0,d6776f13f66d8ed0d54538e0aa1da15e3165d50703e143ec2ca3e2f5ed1d52cd
IA,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,896,4,1448802.57702,1.313414242878,ded769dd1d695395139207f4a4504010eec810786df67c703ae0b2bd621ac43e
IA,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,896,4,1179467.25934,1.069247889255,7ed637d4b1ec7793eb20f440ee4ef18cfaf564806fb6b2baf5302049c202eae4
KS,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,829,4,1031406.20371,1.0,e514be27a803a86213fd340dfa79a8687490e5f202a1b10afe15b917cca93c99
KS,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,829,4,1026148.36713,0.994902263957,956195465d4c1eec83a0666daaf13b79b0025bfb83939b015be754796fd9505c
KS,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,829,4,1561877.88832,1.51431888106,f3747e322ccbd737b4ab86a5d6d9347acd2666ac35c7957f67f931138bcc04e2
KS,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,829,4,1106157.6311,1.072475254775,b1b8d960f08c1bb2654742838a31e3a3f3742b0c18ada2d2577c492346cd311b
MS,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,878,4,982061.43672,1.0,57d326bed3aeef7d68da68257d48d4e9441943218a536aa63c4dcfd48fd31feb
MS,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,878,4,982061.43672,1.0,57d326bed3aeef7d68da68257d48d4e9441943218a536aa63c4dcfd48fd31feb
MS,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,878,4,1144675.63604,1.165584548216,3aee06e3baf76413a5ab0803a00a1eabf90218a665989940a9b37f28b23357ca
MS,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,878,4,1015277.03845,1.033822325659,b69d636400923e2aa683b7b2938fc05e120df4e05fd51db929b36b1405699a3a
NV,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,779,4,1045514.37801,1.0,ba2dde40665d53ce5627aa11d38f0791349b0ef39fb5f982f265b653acaa54a2
