state,left,right,matched_units,different_units,matched_unit_rate
OH,standard-bisect,ratio-optimal,1811,1357,0.5716540404040404
OH,standard-bisect,ratio-optimal-area,1566,1602,0.4943181818181818
OH,standard-bisect,prime-factor,1804,1364,0.5694444444444444
OH,ratio-optimal,ratio-optimal-area,1806,1362,0.5700757575757576
OH,ratio-optimal,prime-factor,1946,1222,0.6142676767676768
OH,ratio-optimal-area,prime-factor,1945,1223,0.6139520202020202
IL,standard-bisect,ratio-optimal,1929,1336,0.590811638591118
IL,standard-bisect,ratio-optimal-area,1568,1697,0.48024502297090355
IL,standard-bisect,prime-factor,1875,1390,0.5742725880551302
IL,ratio-optimal,ratio-optimal-area,2013,1252,0.6165390505359878
IL,ratio-optimal,prime-factor,2033,1232,0.6226646248085758
IL,ratio-optimal-area,prime-factor,2006,1259,0.6143950995405819
PA,standard-bisect,ratio-optimal,2405,1041,0.6979106210098666
PA,standard-bisect,ratio-optimal-area,2321,1125,0.6735345327916424
PA,standard-bisect,prime-factor,1818,1628,0.5275681950087058
PA,ratio-optimal,ratio-optimal-area,2139,1307,0.6207196749854904
PA,ratio-optimal,prime-factor,1838,1608,0.5333720255368544
PA,ratio-optimal-area,prime-factor,1927,1519,0.5591990713871154
NY,standard-bisect,ratio-optimal,3828,1583,0.7074477915357605
NY,standard-bisect,ratio-optimal-area,3684,1727,0.6808353354278321
NY,standard-bisect,prime-factor,3059,2352,0.5653298835705045
NY,ratio-optimal,ratio-optimal-area,3539,1872,0.6540380705969322
NY,ratio-optimal,prime-factor,3056,2355,0.5647754574015894
NY,ratio-optimal-area,prime-factor,2992,2419,0.552947699131399
FL,standard-bisect,ratio-optimal,3316,1844,0.6426356589147287
FL,standard-bisect,ratio-optimal-area,3379,1781,0.6548449612403101
FL,standard-bisect,prime-factor,3507,1653,0.6796511627906977
FL,ratio-optimal,ratio-optimal-area,3212,1948,0.6224806201550388
FL,ratio-optimal,prime-factor,3296,1864,0.6387596899224807
FL,ratio-optimal-area,prime-factor,3295,1865,0.6385658914728682
TX,standard-bisect,ratio-optimal,3842,3054,0.5571345707656613
TX,standard-bisect,ratio-optimal-area,3729,3167,0.5407482598607889
TX,standard-bisect,prime-factor,3727,3169,0.5404582366589327
TX,ratio-optimal,ratio-optimal-area,3802,3094,0.5513341067285383
TX,ratio-optimal,prime-factor,3504,3392,0.5081206496519721
TX,ratio-optimal-area,prime-factor,3775,3121,0.5474187935034803
