state,plan_family,district,block_count,area_m2,perimeter_m,minimum_bounding_radius_m,polsby_popper,reock,convex_hull_ratio,schwartzberg,component_count,interior_ring_count
CA,enacted-congressional-session-118,11,5198,110106518.53700393,145706.99736766136,32928.993498471085,0.06517215438462327,0.03232259685405699,0.15342415259592307,3.9171388050700267,16,0
CA,enacted-congressional-session-118,12,8830,244329978.2660602,203141.00368909695,14488.582868607937,0.07440316883594757,0.37048878446815875,0.7933310313572132,3.6660998033218264,3,6
CA,enacted-congressional-session-118,13,15887,16336942870.354523,2128347.4702670556,117341.84453755508,0.04532059377745541,0.3776722678454513,0.7712019207232351,4.697342252170473,3,90
CA,enacted-congressional-session-118,14,7888,1506781345.7069502,399806.02360432444,36097.6857937951,0.11845719179419505,0.3680795094440971,0.7263101352923529,2.905489321275017,4,14
CA,enacted-congressional-session-118,15,6763,306902170.0392067,293980.67157134693,21925.957890204958,0.044624387474372064,0.2032043193557561,0.6257171854777913,4.73384317194133,13,10
CA,enacted-congressional-session-118,16,8571,1378049697.0924053,413411.21509449265,38035.435041445286,0.10132351229844218,0.3032063073306065,0.6021559799456055,3.141556552734336,2,6
CA,enacted-congressional-session-118,17,6674,474633077.0918619,202532.4803771434,17346.663910739608,0.1454047191616988,0.5020837895279134,0.7461388242835854,2.622471330232683,1,5
CA,enacted-congressional-session-118,18,9147,11868611457.418993,1447138.8050084459,119600.12863372466,0.07121793846194081,0.26411115617280334,0.7624187430811942,3.747186432845238,3,37
CA,enacted-congressional-session-118,19,11678,7311225571.173852,1745128.26645478,138523.59175929087,0.030167918164826096,0.12128101502778532,0.37650935785878664,5.757412274368161,35,43
CA,enacted-congressional-session-118,20,17211,25086996029.937153,2437879.0963593954,153660.94573111314,0.053043747382002335,0.3381985839048926,0.5963511965863213,4.341930833987864,1,33
CA,enacted-congressional-session-118,21,11770,2311065990.8551793,436446.61887009745,52067.95362723738,0.15246141420149947,0.27134476994986395,0.7441597607557948,2.5610616211477217,1,8
CA,enacted-congressional-session-118,22,14777,11179216485.685995,940596.6915442636,84583.75997898511,0.15878677812851344,0.49737908611867976,0.7899925544280605,2.5095325416067458,1,19
CA,enacted-congressional-session-118,23,26438,46559723955.52094,1430711.4480016686,156407.54474939857,0.28583549365237887,0.6058221206276173,0.9094639411725025,1.8704319908468996,1,42
CA,enacted-congressional-session-118,24,13821,12699777298.544682,1487992.4392870283,144811.8620037124,0.07207829755429437,0.19276933850037395,0.4613706589977469,3.724755240403729,493,49
CA,enacted-congressional-session-118,25,16758,31275368571.460415,2041843.106290668,156724.45399633673,0.09426871000219444,0.4053022668412352,0.5922678337605147,3.256988446065573,8,21
CA,enacted-congressional-session-118,26,8803,4446091960.679838,805843.3744604469,57631.078074466364,0.08603735013880306,0.42610347982316643,0.8605878718960976,3.409231456389825,8,49
CA,enacted-congressional-session-118,27,9775,3933808725.324553,704120.1846125575,49018.22838159979,0.09970788748955889,0.521132483587756,0.8880173747445317,3.1669065080535455,2,30
CA,enacted-congressional-session-118,28,8321,2041869075.7873433,493563.41924481804,38335.98802481073,0.10532993771259663,0.44224679849661536,0.6984944323817732,3.0812297776238027,2,13
CA,enacted-congressional-session-118,29,4728,334532933.3111634,177677.91911627093,17502.54318376525,0.13316246442765453,0.3476055406102953,0.5941944678108382,2.7403692650606377,1,8
CA,enacted-congressional-session-118,30,6712,465505715.9191924,244663.9539536635,22167.334958884676,0.09772257498479649,0.301542254743324,0.6335361162720167,3.198913884658754,2,12
CA,enacted-congressional-session-118,31,6880,539791116.3456087,370876.98751044984,22356.729928606164,0.049314635047682596,0.3437631332466671,0.6635331259912638,4.50310515167447,3,12
CA,enacted-congressional-session-118,32,6206,766118512.0234356,316134.38441285107,27399.969938454986,0.09633017549021217,0.3248223553048257,0.7164759113280657,3.2219502058954896,1,20
CA,enacted-congressional-session-118,33,6724,490432486.7467537,224362.2258654248,23918.992185549978,0.1224304976308787,0.2728623430217066,0.6776281030472735,2.8579537254587386,2,6
CA,enacted-congressional-session-118,34,4862,128872814.92426899,121379.42198865859,10181.914319696934,0.10992109567412786,0.3956877140236584,0.6798957461008577,3.0161954165039124,4,1
CA,enacted-congressional-session-118,35,5714,459440291.9033214,158331.30478455604,20042.263144409102,0.23030605794422154,0.3640706647188513,0.7100519954756732,2.083758186817826,1,1
CA,enacted-congressional-session-118,36,8441,252030735.94869503,218165.4684349102,22015.263008816266,0.06654131049862833,0.16552205841053905,0.49228283089724767,3.8766297570236166,5,8
CA,enacted-congressional-session-118,37,5509,136799792.48356053,82225.3979850055,9595.705030229048,0.2542630979653245,0.4729135820620189,0.7749701383024344,1.9831626426298914,2,2
CA,enacted-congressional-session-118,38,7120,388201899.82305515,263240.30199753813,17852.220201356853,0.07039839530653556,0.38772456159957314,0.6790428900904826,3.7689347619056037,3,9
CA,enacted-congressional-session-118,39,6544,737316213.3827925,289390.39491749153,23788.769129759596,0.11063573441806317,0.41472476365613614,0.6766546036706791,3.0064382517526402,2,10
CA,enacted-congressional-session-118,40,6326,1014595768.8040947,332514.430627927,29166.849199045464,0.11531396764380093,0.37963316154067867,0.708164427857132,2.9448219552276234,1,7
CA,enacted-congressional-session-118,41,10143,3451837379.1025305,1081204.5579530126,67584.41537968414,0.03710602694585241,0.24055109147397097,0.6272020692249507,5.191319665137783,5,13
CA,enacted-congressional-session-118,42,6833,562619354.6087356,510817.3978027807,69270.43442074455,0.027095250562037928,0.037322349287339705,0.13861435892559723,6.075099764516998,18,9
